title,technical_skills,tools,all_skills
Data Scientist,"['machine learning', 'python']","['gcp', 'aws']","['machine learning', 'python', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['hadoop', 'aws', 'tableau']","['machine learning', 'python', 'sql', 'hadoop', 'aws', 'tableau']"
Data Scientist,"['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'python']","['jupyter', 'hadoop', 'gcp', 'azure', 'aws']","['machine learning', 'pytorch', 'deep learning', 'sql', 'tensorflow', 'python', 'jupyter', 'hadoop', 'gcp', 'azure', 'aws']"
Data Analyst,"['pyspark', 'airflow', 'azure', 'sql']","['airflow', 'azure', 'hadoop']","['pyspark', 'airflow', 'azure', 'sql', 'airflow', 'azure', 'hadoop']"
Data Analyst,"['data visualization', 'excel', 'data cleaning', 'power bi', 'python']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['data visualization', 'excel', 'data cleaning', 'power bi', 'python', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['machine learning', 'pytorch', 'docker', 'sql', 'tensorflow', 'azure', 'python']","['docker', 'gcp', 'git', 'azure', 'aws']","['machine learning', 'pytorch', 'docker', 'sql', 'tensorflow', 'azure', 'python', 'docker', 'gcp', 'git', 'azure', 'aws']"
Data Scientist,"['machine learning', 'python']","['gcp', 'aws']","['machine learning', 'python', 'gcp', 'aws']"
Data Scientist,"['machine learning', 'python', 'sql']","['hadoop', 'aws', 'tableau']","['machine learning', 'python', 'sql', 'hadoop', 'aws', 'tableau']"
Data Analyst,"['data visualization', 'tableau', 'pandas', 'sql', 'power bi', 'python']","['google analytics', 'tableau', 'excel', 'sql server', 'power bi']","['data visualization', 'tableau', 'pandas', 'sql', 'power bi', 'python', 'google analytics', 'tableau', 'excel', 'sql server', 'power bi']"
Data Scientist,"['machine learning', 'python', 'sql']","['jupyter', 'hadoop', 'gcp']","['machine learning', 'python', 'sql', 'jupyter', 'hadoop', 'gcp']"
Software Engineer,"['machine learning', 'nosql', 'python', 'sql']","['airflow', 'aws', 'mlflow', 'docker']","['machine learning', 'nosql', 'python', 'sql', 'airflow', 'aws', 'mlflow', 'docker']"
Data Scientist,"['python', 'sql', 'azure']","['hadoop', 'azure', 'aws', 'tableau']","['python', 'sql', 'azure', 'hadoop', 'azure', 'aws', 'tableau']"
Data Analyst,"['python', 'sql']","['power bi', 'google analytics', 'tableau']","['python', 'sql', 'power bi', 'google analytics', 'tableau']"
Data Scientist,"['machine learning', 'nosql', 'python', 'sql']","['hadoop', 'tableau']","['machine learning', 'nosql', 'python', 'sql', 'hadoop', 'tableau']"
Software Engineer,"['machine learning', 'python', 'tensorflow']","['gcp', 'aws', 'docker']","['machine learning', 'python', 'tensorflow', 'gcp', 'aws', 'docker']"
Software Engineer,"['machine learning', 'python', 'tensorflow']","['aws', 'gcp', 'mlflow']","['machine learning', 'python', 'tensorflow', 'aws', 'gcp', 'mlflow']"
Data Scientist,"['machine learning', 'sql']","['hadoop', 'tableau']","['machine learning', 'sql', 'hadoop', 'tableau']"
Data Scientist,"['python', 'sql']","['spark', 'jupyter', 'databricks', 'gcp', 'aws']","['python', 'sql', 'spark', 'jupyter', 'databricks', 'gcp', 'aws']"
Data Scientist,"['nosql', 'python', 'sql', 'docker']","['git', 'docker']","['nosql', 'python', 'sql', 'docker', 'git', 'docker']"
Data Scientist,"['machine learning', 'nosql', 'python', 'sql']","['hadoop', 'tableau']","['machine learning', 'nosql', 'python', 'sql', 'hadoop', 'tableau']"
