University,Degree Program,Year,Course Name,Skills
SJP,Computer Science,1,Professional English,"Communication, Technical Writing, Teamwork, Professional Conduct"
SJP,Computer Science,1,Principles of Management,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
SJP,Computer Science,1,Introductory Statistics,"Statistical Analysis, Descriptive Statistics, Probability, Hypothesis Testing, Excel"
SJP,Computer Science,1,Discrete Mathematics,"Set Theory, Logic, Combinatorics, Graph Theory Basics, Discrete Structures"
SJP,Computer Science,1,Computer System Organization,"Computer Organization, Assembly Language, Memory Hierarchy, I/O Systems"
SJP,Computer Science,1,Fundamentals of Programming,"Programming, Debugging, Variables, Control Structures, Functions"
SJP,Computer Science,1,Introduction to Software Engineering,"Software Design, Code Review, Documentation, SDLC, Requirements Engineering"
SJP,Computer Science,1,Leadership and Human Skills Development,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Computer Science,1,Objected Oriented Programming,"Design Patterns, OOP Design, Inheritance, Polymorphism, Encapsulation"
SJP,Computer Science,1,Database Management Systems,"SQL, Database Design, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Normalization, ER Diagrams, CRUD Operations, Relational Algebra"
SJP,Computer Science,1,Data Structures and Algorithms,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis"
SJP,Computer Science,1,Operating Systems,"Team Management, Process Management, Memory Management, Scheduling, Deadlock Prevention, Linux/Unix"
SJP,Computer Science,1,Computer System Architecture,"Instruction Set Architecture, Pipelining, Cache Memory, CPU Design, Performance Metrics"
SJP,Computer Science,1,Rapid Application Development,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Computer Science,1,Algebra for Computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
SJP,Computer Science,2,Group Project,"Git, Documentation, Project Planning, Team Collaboration, Presentation Skills"
SJP,Computer Science,2,Data Communication and Networks,"Network Protocols, Network Design, Communication, TCP/IP, Routing, Switching, Wireshark, Presentation Skills, Professional Writing"
SJP,Computer Science,2,Object Oriented Analysis and Design,"Design Patterns, OOP Design, Inheritance, Polymorphism, Encapsulation"
SJP,Computer Science,2,Web Technologies,"HTML, CSS, JavaScript, Frontend Development, jQuery, Bootstrap"
SJP,Computer Science,2,Statistical Distribution and Inferences,"Data Analysis, Statistical Methods, Data Interpretation, Exploratory Data Analysis"
SJP,Computer Science,2,Mathematics for computing,"Problem Solving, Mathematical Modeling, Mathematical Reasoning"
SJP,Computer Science,2,Artificial Intelligence,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
SJP,Computer Science,2,Computer Graphics,"3D Modeling, OpenGL, Rendering, Shaders, Computer Graphics, Ray Tracing"
SJP,Computer Science,2,Knowledge Representation,"Communication, Presentation Skills, Professional Writing"
SJP,Computer Science,2,Software Quality Assurance,"Automation, Java, Python, JavaScript, SQL, Cucumber)"
SJP,Computer Science,2,Differential Equations,"Intergration, Differentiation, Linear Equations, Non Linear Equation"
SJP,Computer Science,2,Service Oriented Web Applications,"HTML, CSS, JavaScript, Responsive Design, Integration Patterns, REST APIs, Web Frameworks, Message Queues, Middleware Architecture, SOA, ESB"
SJP,Computer Science,2,Industrial Inspection,"Industry Practices, Professional Experience, Workplace Skills, Applied Learning"
SJP,Computer Science,2,Software Architecture and Design Patterns,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Computer Science,3,Research Methodologies,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Computer Science,3,Social and Professional Issues in Information Technology,"Communication, Technical Writing, Teamwork, Professional Conduct"
SJP,Computer Science,3,High Performance Computing,"MPI, OpenMP, CUDA, GPU Programming, Parallel Algorithms, HPC"
SJP,Computer Science,3,Advanced Data Structures and Algorithms,"Graph Algorithms, Dynamic Programming, Greedy Algorithms, Advanced Trees, Algorithm Optimization"
SJP,Computer Science,3,Computer Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
SJP,Computer Science,3,Machine Learning,"Supervised Learning, Unsupervised Learning, scikit-learn, Feature Engineering, Model Evaluation"
SJP,Computer Science,3,Visual Computing,"Visualization Techniques, Interactive Graphics, Visual Analytics, Scientific Visualization"
SJP,Computer Science,3,Software Project Management,"Git, Documentation, Project Management, Strategic Planning, Business Intelligence, Stakeholder Management, Project Planning, Team Collaboration, Presentation Skills"
SJP,Computer Science,3,Theory of Computation,"Automata Theory, Turing Machines, Complexity Theory, Computability"
SJP,Computer Science,3,Mobile Computing,"Kotlin, Swift, Android Studio, Mobile UI/UX, Mobile Architecture, App Deployment"
SJP,Computer Science,3,Digital Image Processing and Computer Vision,"OpenCV, Image Filtering, Edge Detection, Object Detection, Feature Extraction, Image Segmentation, Boolean Algebra, Logic Gates, Sequential Circuits, Combinational Circuits, VHDL"
SJP,Computer Science,3,Independent Research Studies,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Computer Science,3,Human Computer Interactions,"UI/UX Design, Usability Testing, Prototyping, User Research, Interaction Design, Figma"
SJP,Computer Science,3,Natural Language Processing,"Communication, Presentation Skills, Professional Writing"
SJP,Computer Science,3,Theory of Programming Languages,"Programming, Problem Solving, Communication, Code Design, Algorithm Implementation, Presentation Skills, Professional Writing"
SJP,Computer Science,3,Multimedia Systems,"Model Development, Audio Processing, Video Processing, Compression Algorithms, Streaming"
SJP,Computer Science,3,Deep Learning,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Computer Science,3,Middleware Architecture,"Integration Patterns, Message Queues, Middleware Architecture, SOA, ESB"
SJP,Computer Science,3,Big Data Analytics,"Hadoop, Spark, Scala, MapReduce, Hive, Distributed Computing"
SJP,Computer Science,4,Individual Research Project,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Computer Science,4,Cloud Computing and Network Security,"Cryptography, Network Security, Penetration Testing, Security Protocols, Firewalls, IDS/IPS"
SJP,Computer Science,4,Emerging Trends in computing,"Innovation, Technology Trends, Emerging Technologies, Tech Research"
SJP,Computer Science,4,Robotics and Automation,"ROS, Robot Kinematics, Path Planning, Computer Vision for Robotics, Sensor Fusion, Control Systems"
SJP,Computer Science,4,Nature Inspired Algorithms,"Arrays, Linked Lists, Trees, Graphs, Sorting, Searching, Hash Tables, Complexity Analysis, Genetic Algorithms, Particle Swarm Optimization, Ant Colony Optimization, Evolutionary Computation"
SJP,Computer Science,4,Mathematical Modeling and Simulation,"Problem Solving, Computer Science Fundamentals, Analytical Thinking"
SJP,Computer Science,4,Embedded Systems and Internet of Things,"Arduino, Raspberry Pi, IoT Protocols, MQTT, Sensor Integration, Edge Computing"
SJP,Computer Science,4,Game development,"C#, Game Design, Unity, Unreal Engine, Game Physics, Game AI, 3D Graphics"
SJP,Computer Science,4,Bioinformatics,"Sequence Alignment, Genomics, BioPython, Phylogenetics, Protein Structure, Biological Databases"
SJP,Computer Science,4,Complex Systems and Agent Technology,"Simulation, Multi-Agent Systems, Complex Systems Modeling, Emergent Behavior"
SJP,Computer Science,4,Operational Research,"Research Methodologies, Data Collection, Literature Review, Academic Writing, LaTeX"
SJP,Computer Science,4,Industrial Training,"Problem Solving, Adaptability, Initiative, Professional communication"
SJP,Software Engineering,1,Professional English,"Communication, Technical Writing, Teamwork, Professional Conduct"
SJP,Software Engineering,1,Principles of Management,"Project Management, Strategic Planning, Business Intelligence, Stakeholder Management"
SJP,Software Engineering,1,Introductory Statistics,"Statistical Analysis, Descriptive Statistics, Probability, Hypothesis Testing, Excel"
SJP,Software Engineering,1,Discrete Mathematics,"Set Theory, Logic, Combinatorics, Graph Theory Basics, Discrete Structures"
SJP,Software Engineering,1,Computer System Organization,"Computer Organization, Assembly Language, Memory Hierarchy, I/O Systems"
