role,extracted_skills
Software Engineer,"['native', 'react', 'sql', 'ji', 'ios', 'gith', 'android']"
Software Engineer,"['design', 'post', 'react', 'angular', 'html', 'javascript', 'sql', 'agile', 'oriented', 'patterns', 'cs', 'vu']"
Software Engineer,"['reactjs', 'react', 'spring', 'graph', 'ko', 'javascript', 'dev', 'aw', 'micro', 'ku', 'java', 'jenkins']"
Software Engineer,"['aw', 'gi']"
Software Engineer,"['design', 'post', 'react', 'angular', 'html', 'javascript', 'sql', 'agile', 'oriented', 'patterns', 'cs', 'vu']"
Qa Engineer,[]
Software Engineer,"['system', 'algorithms', 'unit', 'integration', 'testing', 'git', 'micro']"
Software Engineer,"['reactjs', 'react', 'spring', 'graph', 'ko', 'javascript', 'dev', 'aw', 'micro', 'ku', 'java', 'jenkins']"
Software Engineer,"['algorithms', 'structures', 'data']"
Software Engineer,[]
Senior Executive - Network Software Support,['dev']
ÐÐ²Ñ‚Ð¾Ñ€ ÐºÐ¾Ð½Ñ‚ÐµÐ½Ñ‚Ñƒ / Content writer @ENESTECH Software,[]
Software Engineer,[]
Software Engineer,"['react', 'typescript', 'graphq', 'javascript', 'red', 'agile', 'cs']"
Software Engineer,"['react', 'typescript', 'graphq', 'javascript', 'red', 'ache', 'agile', 'cs']"
ÐšÐ¾Ð½Ñ‚ÐµÐ½Ñ‚-Ð¼ÐµÐ½ÐµÐ´Ð¶ÐµÑ€ / Content manager @ENESTECH Software,[]
Solutions Architect - Cloud and Software Technology,[]
Graduate Software Sales Representative (German speaking) -  Remote,['sales']
Software Engineer,"['micro', 'ruby']"
Technical Support Specialist - (Software/SaaS support),"['windows', 'ji', 'confluence', 'salesforce']"
Application/Software Support Specialist French - English (remote),[]
Support manager/ÐœÐµÐ½ÐµÐ´Ð¶ÐµÑ€ ÑÐ»ÑƒÐ¶Ð±Ð¸ Ð¿Ñ–Ð´Ñ‚Ñ€Ð¸Ð¼ÐºÐ¸ (Ð¿Ð¾Ñ€Ñ‚ÑƒÐ³Ð°Ð»ÑŒÑÑŒÐºÐ° Ð¼Ð¾Ð²Ð°) @ENESTECH Software,[]
Support engineer (Portuguese) @ENESTECH Software,[]
ÐœÐµÐ½ÐµÐ´Ð¶ÐµÑ€ Ð· Ð¿Ñ€Ð¾Ð´Ð°Ð¶Ñƒ (Ð°Ð½Ð³Ð»Ð¾Ð¼Ð¾Ð²Ð½Ñ– ÐºÑ€Ð°Ñ—Ð½Ð¸) / Sales Representative (with English) @ENESTECH Software,[]
Software Sales Executive (Remote),[]
Global Account Manager (AEC software),[]
Product Manager,[]
Middle Software Quality Engineer,"['sc', 'ji', 'agile']"
Software Engineer,"['linux', 'docker', 'javascript', 'python', 'kubernet', 'agile', 'unix', 'java']"
Software Engineer,"['go', 'graphq', 'react', 'javascript', 'dock', 'php', 'cypress', 'rch', 'elastic']"
Software Engineer,"['go', 'javascript', 'python', 'java', 'clis']"
Software Engineer,"['ium', 'testing', 'agile', 'automation', 'se']"
Software Engineer,"['ium', 'testing', 'agile', 'automation', 'se']"
Software Engineer,"['block', 'mad']"
Software Quality Engineer,['go']
Qa Engineer,[]
Qa Engineer,[]
Senior Software Quality Engineer,"['sc', 'scrum', 'ji', 'agile']"
Software Engineer,"['ium', 'testing', 'agile', 'automation', 'se']"
Qa Engineer,"['post', 'se', 'javascript', 'git', 'sql', 'cypress', 'devops', 'java', 'jenkins', 'bitbuck', 'statements']"
Software Engineer,[]
Software Engineer,"['linux', 'docker', 'javascript', 'python', 'kubernet', 'agile', 'unix', 'java']"
Software Engineer,"['java', 'agile', 'kotl']"
Qa Engineer,"['post', 'dev', 'javascript', 'git', 'drive', 'sql', 'cypress', 'devops', 'java', 'jenkins', 'bitbuck', 'se']"
Software Engineer,"['go', 'sql']"
Senior Software Quality Engineer,"['sc', 'ji', 'agile']"
Qa Engineer,"['post', 'javascript', 'sql', 'ji', 'gith', 'agile', 'java']"
Software Engineer,"['gr', 'aws', 'python', 'lab', 'agile', 'java', 'se']"
Qa Engineer,[]
Software Engineer,"['docker', 'typescript', 'less', 'javascript', 'git', 'kubernet']"
Senior Software Test Engineer,"['jun', 'javascript', 'python', 'java', 'se']"
Software Engineer,"['docker', 'typescript', 'less', 'javascript', 'git', 'ku', 'net']"
Manual Software QA Tester - WFH/Remote (Fresh Graduates Welcome to Apply),"['agile', 'adobe']"
Software Engineer,"['ruby', 'github', 'red', 'dock', 'ji', 'kubernet', 'agile', 'jenkins']"
Software Engineer,"['docker', 'an', 'javascript', 'object', 'aws', 'python', 'micro', 'agile', 'java', 'oriented']"
It Manager,"['penetration', 'testing', 'cyber', 'bug', 'security', 'cs']"
Software Engineer,"['javascript', 'mon', 'application', 'aw', 'ret', 'security', 'mongodb']"
Cybersecurity Engineer,"['go', 'dev', 'javascript', 'python', 'agile', 'java', 'proto']"
Cybersecurity Engineer,"['vision', 'design', 'sas', 'computer', 'testing', 'ow', 'patterns']"
(Senior) Security / DevSecOps Software Ingenieur (m/w/d) â€“ WiP,[]
Software Engineer,"['dev', 'ography', 'io', 'cyber', 'information', 'security']"
Software Engineer,"['information', 'security']"
Software Engineer,"['linux', 'windows', 'less', 'aws', 'terraform']"
Software Security Research Engineer,"['block', 'rust', 'cryptography', 'cyber', 'python', 'reverse', 'proto']"
Software Engineer,"['aws', 'cent', 'cloudform', 'devops', 'gith', 'circleci', 'terraform', 'aw']"
Software Engineer,"['docker', 'mysq', 'python', 'kubernet', 'aw']"
Software Engineer,"['dev', 'red', 'sr', 'devops', 'aw', 'ku', 'net', 'boots', 'ka']"
Software Engineer,"['aws', 'cent', 'cloudform', 'devops', 'gith', 'circleci', 'terraform', 'aw']"
Software Engineer,"['linux', 'an', 'puppet', 'python', 'kubernet', 'devops', 'micro', 'aw', 'elastic', 'rch']"
Software Operations - Lead DevOps/Cloud Solutions Architect,"['docker', 'git', 'aws', 'python', 'devops', 'kubernet', 'terraform']"
Software Engineer,"['linux', 'ansible', 'puppet', 'python', 'kubernet', 'devops', 'micro', 'aw', 'elastic', 'rch']"
Software Engineer,"['linux', 'db', 'sql', 'mysq', 'unix']"
Software Engineer,"['linux', 'db', 'unix', 'sql']"
Software Engineer,"['spark', 'sales', 'machine', 'airflow', 'https', 'learning', 'science', 'engineering', 'aw', 'ku', 'data', 'net', 'ka']"
Software Engineer,"['spark', 'tensorflow', 'machine', 'learning', 'sql', 'python', 'xgb', 'data', 'unix', 'et', 'analysis']"
Software Engineer,"['google', 'go', 'docker', 'dev', 'science', 'python', 'devops', 'kubernet', 'data', 'cloud', 'gcp']"
Software Engineer,"['spark', 'machine', 'airflow', 'learning', 'science', 'aws', 'engineering', 'python', 'data', 'xgboo', 'analysis']"
Software Engineer,"['google', 'dataflow', 'algorithms', 'machine', 'kotl', 'azure', 'learning', 'pac', 'sql', 'nosq', 'tensor', 'python', 'aw', 'ku', 'data', 'cloud', 'air', 'analysis']"
Software Engineer,"['go', 'algorithms', 'machine', 'rmi', 'learning', 'science', 'io', 'python', 'devops', 'aw', 'data', 'terraform']"
Software Engineer,"['spark', 'tensorflow', 'machine', 'learning', 'sql', 'python', 'xgb', 'data', 'unix', 'et', 'analysis']"
Software Engineer,"['machine', 'https', 'learning', 'science', 'sql', 'python', 'aw', 'kubernet', 'data', 'gcp']"
Software Engineer,"['spark', 'design', 'panda', 'machine', 'azure', 'learning', 'sql', 'science', 'engineering', 'python', 'apache', 'ku', 'net', 'data', 'et']"
Software Engineer,"['go', 'kotl', 'an', 'puppet', 'ka', 'dock', 'mysq', 'kubernet', 'gith', 'agile', 'terraform', 'chef', 'elastic', 'mongodb', 'rch']"
Software Engineer,"['go', 'machine', 'learning', 'aws', 'python', 'vm']"
Software Engineer,"['spark', 'kotl', 'aws', 'nosq', 'python']"
Software Engineer,"['spark', 'hive', 'less', 'azure', 'dock', 'sql', 'brick', 'python', 'devops', 'micro', 'agile', 'scala', 'java', 'powershell', 'kafk', 'patterns', 'ku', 'net']"
Software Engineer,"['spark', 'airflow', 'red', 'sql', 'engineering', 'mysq', 'hadoop', 'data', 'et']"
Software Engineer,"['spark', 'machine', 'kotl', 'learning', 'dock', 'aws', 'click', 'science', 'python', 'aw', 'kubernet', 'terraform', 'ops', 'java', 'scala', 'kafk', 'flink', 'data']"
Software Engineer,"['spark', 'machine', 'airflow', 'learning', 'science', 'engineering', 'aw', 'ku', 'net', 'data', 'ka']"
Software Engineer,"['spark', 'machine', 'airflow', 'less', 'learning', 'science', 'engineering', 'python', 'kubernet', 'aw', 'data', 'xgboo', 'analysis']"
Software Engineer,"['spark', 'airflow', 'red', 'science', 'sql', 'engineering', 'mysq', 'hadoop', 'data', 'java', 'scala', 'et']"
Software Engineer,"['tensorflow', 'machine', 'learning', 'git', 'ji', 'python', 'ops']"
Software Engineer,"['algorithms', 'machine', 'learning', 'science', 'data']"
Software Engineer,"['spark', 'machine', 'learning', 'science', 'python', 'apache', 'flink', 'data', 'lang', 'java', 'terraform', 'fl']"
Software Engineer,"['an', 'puppet', 'jupy', 'less', 'aws', 'engineering', 'apache', 'devops', 'ku', 'data', 'net', 'aw', 'terraform', 'kafk']"
Software Engineer,"['spark', 'machine', 'kotl', 'learning', 'science', 'sql', 'kafk', 'php', 'python', 'ping', 'micro', 'data', 'ng', 'scala', 'et', 'patterns']"
Software Engineer,[]
Software Engineer,"['spark', 'google', 'go', 'rust', 'dock', 'engineering', 'mysq', 'gith', 'agile', 'data', 'ku', 'net', 'ka']"
Software Engineer,"['spark', 'algorithms', 'machine', 'learning', 'apache', 'ping', 'hadoop']"
Software Engineer,['micro']
Software Engineer,"['spark', 'machine', 'airflow', 'less', 'learning', 'science', 'aws', 'engineering', 'python', 'data', 'xgboo', 'analysis']"
