Title,Skills,Url
2020 Complete Python Bootcamp: From Zero to Hero in Python,"['python', 'go']",https://www.udemy.com/course/complete-python-bootcamp/
The Web Developer Bootcamp,"['html', 'css', 'node']",https://www.udemy.com/course/the-web-developer-bootcamp/
Machine Learning A-Z™: Hands-On Python & R In Data Science,"['python', 'machine learning', 'r', 'data science']",https://www.udemy.com/course/machinelearning/
"React - The Complete Guide (incl Hooks, React Router, Redux)","['redux', 'react']",https://www.udemy.com/course/react-the-complete-guide-incl-redux/
The Complete 2020 Web Development Bootcamp,"['mongodb', 'css', 'node', 'html', 'react', 'javascript']",https://www.udemy.com/course/the-complete-web-development-bootcamp/
Python for Data Science and Machine Learning Bootcamp,"['numpy', 'plotly', 'seaborn', 'tensorflow', 'matplotlib', 'machine learning', 'pandas']",https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
The Complete JavaScript Course 2020: Build Real Projects!,"['javascript', 'webpack', 'es6']",https://www.udemy.com/course/the-complete-javascript-course/
Complete C# Unity Game Developer 2D,"['c', 'unity']",https://www.udemy.com/course/unitycourse/
The Data Science Course 2020: Complete Data Science Bootcamp,"['statistics', 'deep learning', 'python', 'data science']",https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
The Complete Web Developer Course 2.0,"['css', 'html', 'php', 'python', 'javascript', 'mysql']",https://www.udemy.com/course/the-complete-web-developer-course-2/
Modern React with Redux [2020 Update],"['redux', 'webpack', 'react']",https://www.udemy.com/course/react-redux/
The Complete Node.js Developer Course (3rd Edition),"['jest', 'mongodb', 'node', 'express']",https://www.udemy.com/course/the-complete-nodejs-developer-course-2/
Selenium WebDriver with Java -Basics to Advanced+Frameworks,"['java', 'selenium']",https://www.udemy.com/course/selenium-real-time-examplesinterview-questions/
Spring & Hibernate for Beginners (includes Spring Boot),"['spring boot', 'spring']",https://www.udemy.com/course/spring-hibernate-tutorial/
Build Responsive Real World Websites with HTML5 and CSS3,"['css3', 'html5']",https://www.udemy.com/course/design-and-develop-a-killer-website-with-html5-and-css3/
Docker Mastery: with Kubernetes +Swarm from a Docker Captain,"['docker', 'devops', 'kubernetes']",https://www.udemy.com/course/docker-mastery/
"Vue - The Complete Guide (w/ Router, Vuex, Composition API)","['javascript', 'vue', 'react', 'angular']",https://www.udemy.com/course/vuejs-2-the-complete-guide/
The Complete Web Developer in 2020: Zero to Mastery,"['css', 'node', 'html', 'react', 'machine learning', 'javascript']",https://www.udemy.com/course/the-complete-web-developer-zero-to-mastery/
R Programming A-Z™: R For Data Science With Real Exercises!,"['data science', 'r']",https://www.udemy.com/course/r-programming/
